NAME,RTG,TEAM,DEP,WEEK,GP,FPPG,SNAP,TOUCH,ATT,YDS,YDS/ATT,TD,TGTS,REC,REC YDS,REC TD,YDS/REC,CATCH %
Christian McCaffrey,96,CAR,1,1,3,30.1,1.9,0.7,19.7,75,3.8,1.7,6.3,5.7,49.7,0.3,8.8,89.5
Dalvin Cook,90,MIN,1,1,9,29.3,1.5,0.8,22.3,118.8,5.3,1.4,3.3,2.8,26,0.1,9.4,83.3
Alvin Kamara,90,NO,1,1,10,26,1.7,0.5,11.7,53.1,4.5,0.8,8.1,6.7,64.8,0.4,9.7,82.7
Aaron Jones,88,GB,1,1,8,20.3,1.8,0.7,14.1,66.8,4.7,0.8,5.4,4,32.6,0.2,8.2,74.4
Derrick Henry,95,TEN,1,1,10,20.1,1.9,1.1,22.9,107.9,4.7,0.9,2.2,1.2,8.6,0,7.2,54.5
James Robinson,67,JAX,4,1,10,18.4,2.3,0.9,17.2,76.2,4.4,0.5,4.1,3.1,24.9,0.2,8,75.6
Chris Carson,83,SEA,1,1,6,17.5,1.8,0.6,11,53.8,4.9,0.5,4.2,3.7,24.5,0.5,6.7,88
Josh Jacobs,88,LV,1,1,10,17.4,2.3,1.1,19.9,75.4,3.8,0.9,3.1,2.4,15.8,0,6.6,77.4
Joe Mixon,88,CIN,1,1,6,17.3,2.8,1.1,19.8,71.3,3.6,0.5,4.3,3.5,23,0.2,6.6,80.8
Nick Chubb,90,CLE,1,1,6,17.2,1.6,0.9,16,95.8,6,0.8,0.7,0.5,2.8,0,5.7,75
Raheem Mostert,83,SF,1,1,4,17.1,1.7,0.7,12.8,75.8,5.9,0.2,3,2.8,37.5,0.2,13.6,91.7
Miles Sanders,84,PHI,1,1,7,15.8,3,0.9,14.6,83.6,5.7,0.4,5,2.4,16.6,0,6.8,48.6
Austin Ekeler,85,LAC,1,1,4,15.6,2.5,0.8,12.2,62,5.1,0.2,4.2,4.2,36,0,8.5,100
Ezekiel Elliott,90,DAL,1,1,11,15.6,3.5,1.1,16.5,64.3,3.9,0.5,5.1,3.5,23.3,0.2,6.6,69.6
Clyde Edwards-Helaire,71,KC,1,1,10,15.4,2.5,0.9,14,65.5,4.7,0.4,4.5,2.9,23.2,0.1,8,64.4
Kareem Hunt,87,CLE,2,1,10,15.2,2.2,1,14.7,64.4,4.4,0.4,3,2.2,15.1,0.4,6.9,73.3
D'Andre Swift,73,DET,1,1,9,14.5,1.6,0.5,7.8,36.8,4.7,0.4,4.3,3.4,30.6,0.2,8.9,79.5
James Conner,83,PIT,1,1,10,14.3,3,1,14.5,64.5,4.4,0.5,3,2.5,14.5,0,5.8,83.3
Myles Gaskin,67,MIA,5,1,7,14.2,3,1,14.3,55.3,3.9,0.3,5,4.3,28.3,0,6.6,85.7
Todd Gurley,84,ATL,1,1,10,14.2,2.7,1.2,16.7,61,3.7,0.9,2.4,1.6,8.2,0,5.1,66.7
Ronald Jones II,81,TB,2,1,11,14,1.7,1,13.9,68.5,4.9,0.5,3.5,2.4,11.3,0,4.8,68.4
Mike Davis,72,CAR,2,1,11,13.9,2.6,0.7,10.1,40.8,4,0.3,5.1,4.5,27.7,0.2,6.2,87.5
Antonio Gibson,71,WAS,1,1,11,13.7,2.2,0.9,12.6,58.6,4.6,1,3.5,2.9,21.2,0,7.3,82.1
Melvin Gordon,84,DEN,1,1,9,13.6,3.2,1,13.6,58.1,4.3,0.7,3.2,2.2,9.7,0.1,4.3,69
Kenyan Drake,83,ARI,1,1,9,12.8,3.3,1.3,16.2,71.2,4.4,0.6,1.8,1.3,7.7,0,5.8,75
David Johnson,78,HOU,1,1,7,12.7,3.1,1,13.1,53.4,4.1,0.4,3,2,20.7,0.1,10.4,66.7
Jonathan Taylor,71,IND,1,1,10,12.7,2.3,1.1,13.5,51.8,3.8,0.4,2.8,2.6,22.7,0,8.7,92.9
Jeffery Wilson,68,SF,4,1,5,12.6,1.4,0.6,7.6,32.6,4.3,0.8,1.4,1.2,15,0.2,12.5,85.7
David Montgomery,80,CHI,1,1,9,12.2,3.9,1.2,14.6,52.4,3.6,0.1,4.6,3.3,23.6,0.1,7.1,73.2
Nyheim Hines,72,IND,3,1,10,12.1,1.9,0.4,5.1,17.9,3.5,0.2,4.5,3.6,29.6,0.4,8.2,80
Chase Edmonds,71,ARI,2,1,10,12.1,2.8,0.5,6.4,31.5,4.9,0.1,4.2,3.6,29.7,0.3,8.2,85.7
Damien Harris,71,NE,3,1,7,10.9,1.7,1.3,13.7,73.4,5.4,0.3,0.6,0.4,5.3,0,12.3,75
Jerick McKinnon,77,SF,3,1,10,10.9,2.8,0.7,7.7,29.4,3.8,0.5,3.6,2.5,18.6,0.1,7.4,69.4
Rex Burkhead,78,NE,4,1,10,10.8,2,0.6,6.7,27.4,4.1,0.3,3.3,2.5,19.2,0.3,7.7,75.8
Darrell Henderson,72,LAR,2,1,10,10.8,2.4,1,11,49.3,4.5,0.4,1.9,1.3,12.9,0.1,9.9,68.4
Salvon Ahmed,67,MIA,,1,3,10.7,1.8,1.2,13.3,55.3,4.2,0.3,2.3,2,12,0,6,85.7
Jamaal Williams,79,GB,3,1,9,10.7,3.3,0.8,9,37.3,4.1,0.1,3.4,3,23.6,0.1,7.9,87.1
Sony Michel,84,NE,2,1,3,10.2,2,0.8,8.7,57.7,6.7,0.3,1,0.7,7.7,0,11.5,66.7
Giovani Bernard,79,CIN,2,1,10,9.9,2.7,0.6,5.7,19.1,3.4,0.2,4.1,3.2,24.4,0.2,7.6,78
Leonard Fournette,85,TB,1,1,9,9.8,2.8,0.7,7.3,29,4,0.3,3.8,2.8,17.9,0,6.4,73.5
Malcolm Brown,74,LAR,3,1,10,9.4,3.6,0.9,8.4,36.6,4.4,0.5,2.4,1.7,10.5,0,6.2,70.8
JD McKissic,76,WAS,4,1,11,9.3,3.8,0.5,4.5,20.3,4.5,0.1,6.2,4.2,30.7,0,7.3,67.6
Devin Singletary,81,BUF,1,1,10,9,4,1.1,9.9,40,4,0.1,3.8,2.5,18.7,0,7.5,65.8
Zack Moss,68,BUF,2,1,7,8.9,3,0.9,8.4,32,3.8,0.4,1.7,1.3,9.7,0.1,7.6,75
DeeJay Dallas,67,SEA,4,1,6,8.8,2.4,0.6,5,16.8,3.4,0.3,2.8,2.5,16.7,0.2,6.7,88.2
Wayne Gallman,71,NYG,3,1,9,8.7,2.4,0.9,7.7,30.6,4,0.6,1.8,1.4,8.3,0,5.8,81.2
J.K. Dobbins,72,BAL,2,1,10,8.7,3.2,0.8,7.2,38,5.3,0.3,2.2,1.7,10.3,0,6.1,77.3
Marlon Mack,82,IND,2,1,1,8.6,1.3,0.5,4,26,6.5,0,3,3,30,0,10,100
Carlos Hyde,83,SEA,2,1,6,8.6,2.7,0.9,7.5,34,4.5,0.5,1.7,1.3,8.3,0,6.2,80
