,Player Name,Team,Position,College
0,Oday Aboushi,Detroit,OG,Virginia
1,Johnathan Abram,Las Vegas,DB,Mississippi State
2,Delrick Abrams,Atlanta,DB,Colorado
3,Andrew Adams,Tampa Bay,DB,Connecticut
4,Davante Adams,Green Bay,WR,Fresno State
5,Jamal Adams,Seattle,DB,Louisiana State
6,Jerell Adams,Detroit,TE,South Carolina
7,Josh Adams,NY Jets,RB,Notre Dame
8,Matthew Adams,Indianapolis,LB,Houston
9,Montravius Adams,Green Bay,DT,Auburn
10,Paul Adams,Tennessee,OT,Missouri
11,Rodney Adams,Chicago,WR,South Florida
12,Trey Adams,Buffalo,OT,Washington
13,Tyrell Adams,Houston,LB,West Georgia
14,Jahleel Addae,LA Chargers,DB,Central Michigan
15,Nasir Adderley,LA Chargers,DB,Delaware
16,Mario Addison,Buffalo,DE,Troy State
17,Quincy Adeboyejo,New England,WR,Mississippi
18,Hakeem Adeniji,Cincinnati,OT,Kansas
19,Olasunkanmi Adeniyi,Pittsburgh,LB,Toledo
20,Aaron Adeoye,Baltimore,LB,Southeast Missouri State
21,Nelson Agholor,Las Vegas,WR,Southern California
22,McTelvin Agim,Denver,DT,Arkansas
23,Jamal Agnew,Detroit,DB,San Diego
24,Roberto Aguayo,New England,K,Florida State
25,Salvon Ahmed,Miami,RB,Washington
26,Brandon Aiyuk,San Francisco,WR,Arizona State
27,Cam Akers,LA Rams,RB,Florida State
28,Freedom Akinmoladun,Cincinnati,DE,Nebraska
29,Jordan Akins,Houston,TE,Central Florida
30,Azeez Al-Shaair,San Francisco,LB,Florida Atlantic
31,Otaro Alaka,Baltimore,LB,Texas A&M
32,Isaac Alarcon,Dallas,OT,ITESM Monterrey
33,Jaire Alexander,Green Bay,DB,Louisville
34,Kwon Alexander,New Orleans,LB,Louisiana State
35,Mackensie Alexander,Cincinnati,DB,Clemson
36,Robert Alford,Arizona,DB,Southeastern Louisiana
37,Mo Alie-Cox,Indianapolis,TE,Virginia Commonwealth
38,Nick Allegretti,Kansas City,OG,Illinois
39,Beau Allen,New England,DT,Wisconsin
40,Brandon Allen,Cincinnati,QB,Arkansas
41,Brian Allen,Cleveland,DB,Utah
42,Brian Allen,LA Rams,C,Michigan State
43,Dakota Allen,Jacksonville,LB,Texas Tech
44,Jonathan Allen,Washington,DT,Alabama
45,Josh Allen,Buffalo,QB,Wyoming
46,Josh Allen,Jacksonville,DE,Kentucky
47,Keenan Allen,LA Chargers,WR,California
48,Kyle Allen,Washington,QB,Houston
49,Marcus Allen,Pittsburgh,LB,Penn State
50,Ricardo Allen,Atlanta,DB,Purdue
51,Zach Allen,Arizona,DT,Boston College
52,Geronimo Allison,Detroit,WR,Illinois
53,Kiko Alonso,New Orleans,LB,Oregon
54,Tyson Alualu,Pittsburgh,DT,California
55,Auzoyah Alufohai,Houston,DT,West Georgia
56,Ugo Amadi,Seattle,DB,Oregon
57,Danny Amendola,Detroit,WR,Texas Tech
58,Adrian Amos,Green Bay,DB,Penn State
59,Prince Amukamara,Arizona,DB,Nebraska
60,Bradlee Anae,Dallas,DE,Utah
61,Tremayne Anchrum,LA Rams,OG,Clemson
62,Abdullah Anderson,Minnesota,DT,Bucknell
63,Calvin Anderson,Denver,OT,Texas
64,Darius Anderson,Indianapolis,RB,Texas Christian
65,Henry Anderson,NY Jets,DE,Stanford
66,Robby Anderson,Carolina,WR,Temple
67,Ryan Anderson,Washington,LB,Alabama
68,Stephen Anderson,LA Chargers,TE,California
69,David Andrews,New England,C,Georgia
70,Josh Andrews,NY Jets,C,Oregon State
71,Mark Andrews,Baltimore,TE,Oklahoma
72,Bryan Anger,Houston,P,California
73,Eli Ankou,Dallas,DT,UCLA
74,Ezekiel Ansah,San Francisco,DE,Brigham Young
75,Alex Anzalone,New Orleans,LB,Florida
76,Troy Apke,Washington,DB,Penn State
77,J.J. Arcega-Whiteside,Philadelphia,WR,Stanford
78,Alex Armah,Carolina,RB,West Georgia
79,Arik Armstead,San Francisco,DE,Oregon
80,Ryquell Armstead,Jacksonville,RB,Temple
81,Terron Armstead,New Orleans,OT,Arkansas-Pine Bluff
82,Cornell Armstrong,Houston,DB,Southern Mississippi
83,Dorance Armstrong,Dallas,DE,Kansas
84,Ray-Ray Armstrong,Seattle,LB,Miami
85,Damon Arnette,Las Vegas,DB,Ohio State
86,Dan Arnold,Arizona,TE,Wisconsin-Platteville
87,Grayland Arnold,Philadelphia,DB,Baylor
88,Devin Asiasi,New England,TE,UCLA
89,Marcell Ateman,Las Vegas,WR,Oklahoma State
90,Geno Atkins,Cincinnati,DT,Georgia
91,John Atkins,Detroit,DT,Georgia
92,Jeremiah Attaochu,Denver,LB,Georgia Tech
93,Antony Auclair,Tampa Bay,TE,Laval
94,Blessuan Austin,NY Jets,DB,Rutgers
95,Tavon Austin,Green Bay,WR,West Virginia
96,Denico Autry,Indianapolis,DT,Mississippi State
97,Anthony Averett,Baltimore,DB,Alabama
98,Genard Avery,Philadelphia,DE,Memphis
99,Chidobe Awuzie,Dallas,DB,Colorado
100,Alex Bachman,NY Giants,WR,Wake Forest
101,David Bada,Washington,DE,--
102,Johnson Bademosi,New Orleans,DB,Stanford
103,Jeff Badet,Washington,WR,Oklahoma
104,Michael Badgley,LA Chargers,K,Miami
105,Allen Bailey,Atlanta,DE,Miami
106,Dan Bailey,Minnesota,K,Oklahoma State
107,Jake Bailey,New England,P,Stanford
108,Markus Bailey,Cincinnati,LB,Purdue
109,Quinn Bailey,Denver,OT,Arizona State
110,Zack Bailey,Minnesota,OG,South Carolina
111,Budda Baker,Arizona,DB,Washington
112,Deandre Baker,Kansas City,DB,Georgia
113,Jerome Baker,Miami,LB,Ohio State
114,David Bakhtiari,Green Bay,OT,Colorado
115,Kalen Ballage,LA Chargers,RB,Arizona State
116,Corey Ballentine,NY Jets,DB,Washburn
117,Trajan Bandy,Cincinnati,DB,Miami
118,Chris Banjo,Arizona,DB,Southern Methodist
119,Eric Banks,LA Rams,DE,Texas-San Antonio
120,Zach Banner,Pittsburgh,OT,Southern California
121,Ben Banogu,Indianapolis,DE,Texas Christian
122,Peyton Barber,Washington,RB,Auburn
123,Luqman Barcoo,Jacksonville,DB,San Diego State
124,Jake Bargas,Minnesota,RB,North Carolina
125,Matt Barkley,Buffalo,QB,Southern California
126,Saquon Barkley,NY Giants,RB,Penn State
127,Kenjon Barner,Tampa Bay,RB,Oregon
128,Krys Barnes,Green Bay,LB,UCLA
129,Derek Barnett,Philadelphia,DE,Tennessee
130,Michael Barnett,New England,DT,Georgia
131,Anthony Barr,Minnesota,LB,UCLA
132,Alex Barrett,San Francisco,DE,San Diego State
133,Shaquil Barrett,Tampa Bay,LB,Colorado State
134,Alex Bars,Chicago,OG,Notre Dame
135,Ben Bartch,Jacksonville,OT,St. John's (MN)
136,Cody Barton,Seattle,LB,Utah
137,Jackson Barton,NY Giants,OT,Utah
138,Tarell Basham,NY Jets,LB,Ohio
139,Tyler Bass,Buffalo,K,Georgia Southern
140,Essang Bassey,Denver,DB,Wake Forest
141,Daren Bates,Tennessee,LB,Auburn
142,Jessie Bates III,Cincinnati,DB,Wake Forest
143,Ryan Bates,Buffalo,OT,Penn State
144,Cameron Batson,Tennessee,WR,Texas Tech
145,John Battle,Pittsburgh,DB,Louisiana State
146,Marcus Baugh,Washington,TE,Ohio State
147,Zack Baun,New Orleans,LB,Wisconsin
148,De'Vante Bausby,Denver,DB,Pittsburg State
149,Nick Bawden,Detroit,RB,San Diego State
150,Omar Bayless,Carolina,WR,Arkansas State
151,Evan Baylis,Arizona,TE,Oregon
152,Kelvin Beachum,Arizona,OT,Southern Methodist
153,Sam Beal,NY Giants,DB,Western Michigan
154,Cole Beasley,Buffalo,WR,Southern Methodist
155,Vic Beasley,Las Vegas,DE,Clemson
156,C.J. Beathard,San Francisco,QB,Iowa
157,Willie Beavers,Atlanta,OT,Western Michigan
158,Andrew Beck,Denver,RB,Texas
159,Nate Becker,Buffalo,TE,Miami (OH)
160,Odell Beckham Jr.,Cleveland,WR,Louisiana State
161,Mekhi Becton,NY Jets,OT,Louisville
162,Chad Beebe,Minnesota,WR,Northern Illinois
163,Reggie Begelton,Green Bay,WR,Lamar
164,Blake Bell,Dallas,TE,Oklahoma
165,Le'Veon Bell,Kansas City,RB,Michigan State
166,Quinton Bell,Tampa Bay,LB,Prairie View A&M
167,Vonn Bell,Cincinnati,DB,Ohio State
168,Davin Bellamy,Houston,LB,Georgia
169,LeVante Bellamy,Denver,RB,Western Michigan
170,B.J. Bello,LA Chargers,LB,Illinois State
171,Nick Bellore,Seattle,RB,Central Michigan
172,Caleb Benenoch,New England,OG,UCLA
173,Eno Benjamin,Arizona,RB,Arizona State
174,Travis Benjamin,San Francisco,WR,Miami
175,Kurt Benkert,Atlanta,QB,Virginia
176,Trinity Benson,Denver,WR,East Central (OK)
177,Ja'Whaun Bentley,New England,LB,Purdue
178,Elijah Benton,Cleveland,DB,Liberty
179,Beau Benzschawel,Houston,OG,Wisconsin
180,Tony Bergstrom,San Francisco,C,Utah
181,Francis Bernard,Dallas,LB,Utah
182,Giovani Bernard,Cincinnati,RB,North Carolina
183,Braxton Berrios,NY Jets,WR,Miami
184,Jordan Berry,Pittsburgh,P,Eastern Kentucky
185,Rashod Berry,New England,TE,Ohio State
186,Taylor Bertolet,Minnesota,K,Texas A&M
187,Justin Bethel,New England,DB,Presbyterian
188,Tyler Biadasz,Dallas,C,Wisconsin
189,Vince Biegel,Miami,LB,Wisconsin
190,Andrew Billings,Cleveland,DT,Baylor
191,Joel Bitonio,Cleveland,OG,Nevada
192,Daniel Bituli,Carolina,LB,Tennessee
193,Henry Black,Green Bay,DB,Baylor
194,Ross Blacklock,Houston,DT,Texas Christian
195,Julian Blackmon,Indianapolis,DB,Utah
196,Angelo Blackson,Arizona,DE,Auburn
197,Marquise Blair,Seattle,DB,Utah
198,Ronald Blair,San Francisco,DT,Appalachian State
199,Christian Blake,Atlanta,WR,Northern Illinois
200,Rodrigo Blankenship,Indianapolis,K,Georgia
201,Kendall Blanton,LA Rams,TE,Missouri
202,Khari Blasingame,Tennessee,RB,Vanderbilt
203,Amani Bledsoe,Cincinnati,DE,Oklahoma
204,David Blough,Detroit,QB,Purdue
205,Austin Blythe,LA Rams,C,Iowa
206,C.J. Board,NY Giants,WR,Tennessee-Chattanooga
207,Chris Board,Baltimore,LB,North Dakota State
208,Jacob Bobenmoyer,Denver,LS,Northern Colorado
209,Briean Boddy-Calhoun,San Francisco,DB,Minnesota
210,Russell Bodine,Detroit,C,North Carolina
211,Evan Boehm,Jacksonville,OG,Missouri
212,Ike Boettger,Buffalo,OG,Iowa
213,Corey Bojorquez,Buffalo,P,New Mexico
214,Brandon Bolden,New England,RB,Mississippi
215,Victor Bolden,Detroit,WR,Oregon State
216,Garett Bolles,Denver,OT,Utah
217,Curtis Bolton,Houston,LB,Oklahoma
218,Devante Bond,Chicago,LB,Oklahoma
219,Terrell Bonds,Baltimore,DB,Tennessee State
220,Reggie Bonnafon,Carolina,RB,Louisville
221,Devontae Booker,Las Vegas,RB,Utah
222,Alex Boone,Seattle,OG,Ohio State
223,Mike Boone,Minnesota,RB,Cincinnati
224,Breon Borders,Tennessee,DB,Duke
225,Blake Bortles,LA Rams,QB,Central Florida
226,Joey Bosa,LA Chargers,DE,Ohio State
227,Nick Bosa,San Francisco,DE,Ohio State
228,Jonathan Bostic,Washington,LB,Florida
229,Tre Boston,Carolina,DB,North Carolina
230,Chris Boswell,Pittsburgh,K,Rice
231,Kendrick Bourne,San Francisco,WR,Eastern Washington
232,A.J. Bouye,Denver,DB,Central Florida
233,Lynn Bowden,Miami,WR,Kentucky
234,Tashawn Bower,New England,DE,Louisiana State
235,Nick Bowers,Las Vegas,TE,Penn State
236,Tyus Bowser,Baltimore,LB,Houston
237,Kris Boyd,Minnesota,DB,Texas
238,Tyler Boyd,Cincinnati,WR,Pittsburgh
239,Miles Boykin,Baltimore,WR,Notre Dame
240,Nick Boyle,Baltimore,TE,Delaware
241,Tim Boyle,Green Bay,QB,Eastern Kentucky
242,Bradley Bozeman,Baltimore,OG,Alabama
