NAME,RTG,TEAM,DEP,WEEK,TGTS,REC,REC YDS,REC TD,ATT,YDS,TD
Dallas Goedert,85,PHI,1,1,9,8,101,1,0,0,0
Mark Andrews,86,BAL,1,1,6,5,58,2,0,0,0
Noah Fant,85,DEN,1,1,6,5,81,1,0,0,0
Travis Kelce,96,KC,1,1,6,6,50,1,0,0,0
T.J. Hockenson,81,DET,1,1,5,5,56,1,0,0,0
David Njoku,81,CLE,1,1,3,3,50,1,0,0,0
Logan Thomas,80,WAS,1,1,8,4,37,1,0,0,0
OJ Howard,84,TB,2,1,6,4,36,1,0,0,0
Jonnu Smith,82,TEN,1,1,7,4,36,1,0,0,0
Jared Cook,89,NO,1,1,7,5,80,0,0,0,0
Greg Olsen,77,SEA,1,1,4,4,24,1,0,0,0
Hunter Henry,85,LAC,1,1,8,5,73,0,0,0,0
Jordan Akins,77,HOU,3,1,2,2,39,1,0,0,0
Jimmy Graham,78,CHI,2,1,7,3,25,1,0,0,0
Zach Ertz,81,PHI,1,1,7,3,18,1,0,0,0
Darren Waller,93,LV,1,1,8,6,45,0,0,0,0
George Kittle,99,SF,1,1,5,4,44,0,1,9,0
CJ Uzomah,78,CIN,1,1,5,4,45,0,0,0,0
Jack Doyle,79,IND,1,1,4,3,49,0,0,0,0
Chris Herndon IV,77,NYJ,1,1,7,6,37,0,0,0,0
MyCole Pruitt,71,TEN,2,1,1,1,1,1,0,0,0
Tyler Higbee,82,LAR,1,1,4,3,40,0,0,0,0
Hayden Hurst,77,ATL,1,1,5,3,38,0,0,0,0
Mike Gesicki,84,MIA,2,1,5,3,30,0,0,0,0
Kyle Rudolph,80,MIN,1,1,2,2,28,0,0,0,0
Dawson Knox,75,BUF,1,1,3,2,26,0,0,0,0
Dan Arnold,67,ARI,1,1,2,2,21,0,0,0,0
Mo Alie-Cox,67,IND,1,1,2,2,20,0,0,0,0
Darren Fells,73,HOU,1,1,2,2,19,0,0,0,0
Kaden Smith,67,NYG,3,1,2,2,17,0,0,0,0
Ian Thomas,75,CAR,1,1,2,2,16,0,0,0,0
Ryan Izzo,67,NE,1,1,2,1,25,0,0,0,0
Austin Hooper,87,CLE,1,1,2,2,15,0,0,0,0
Jordan Reed,81,SF,1,1,2,2,12,0,0,0,0
Rob Gronkowski,87,TB,1,1,3,2,11,0,0,0,0
Evan Engram,83,NYG,1,1,7,2,9,0,0,0,0
Will Dissly,77,SEA,1,1,2,2,8,0,0,0,0
Eric Ebron,85,PIT,1,1,2,1,18,0,0,0,0
Anthony Firkser,70,TEN,3,1,2,2,5,0,0,0,0
Nick Boyle,83,BAL,2,1,3,2,3,0,0,0,0
Levine Toilolo,71,NYG,2,1,1,1,13,0,0,0,0
Blake Jarwin,78,DAL,1,1,1,1,12,0,0,0,0
Josiah Deguara,70,GB,3,1,2,1,12,0,0,0,0
Irv Smith Jr.,77,MIN,1,1,1,1,11,0,0,0,0
Dalton Schultz,73,DAL,1,1,4,1,11,0,0,0,0
Virgil Green,71,LAC,2,1,2,1,10,0,0,0,0
Jacob Hollister,73,SEA,2,1,1,1,9,0,0,0,0
Jeremy Sprinkle,68,WAS,2,1,1,1,8,0,0,0,0
Tyler Eifert,77,JAX,2,1,1,1,8,0,0,0,0
Gerald Everett,75,LAR,2,1,2,1,7,0,0,0,0
Drew Sample,70,CIN,1,1,1,1,7,0,0,0,0
Harrison Bryant,67,CLE,2,1,2,1,5,0,0,0,0
Adam Trautman,70,NO,2,1,3,1,4,0,0,0,0
