,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
0,Davante Adams,91,GB,1.0,1,17,14,156,2,0,0,0,MIN
1,Calvin Ridley,85,ATL,2.0,1,12,9,130,2,1,-1,0,SEA
2,Adam Thielen,89,MIN,1.0,1,8,6,110,2,0,0,0,GB
3,Darius Slayton,77,NYG,1.0,1,9,6,102,2,0,0,0,PIT
4,JuJu Smith-Schuster,89,PIT,1.0,1,6,6,69,2,0,0,0,NYG
5,Jamison Crowder,83,NYJ,1.0,1,13,7,115,1,0,0,0,BUF
6,Robby Anderson,81,CAR,2.0,1,8,6,114,1,0,0,0,LV
7,Julio Jones,99,ATL,1.0,1,12,9,157,0,0,0,0,SEA
8,Marquez Valdes-Scantling,74,GB,3.0,1,6,4,96,1,0,0,0,MIN
9,D.K. Metcalf,80,SEA,2.0,1,8,4,95,1,0,0,0,ATL
10,DeAndre Hopkins,99,ARI,1.0,1,16,14,151,0,0,0,0,SF
11,Sammy Watkins,80,KC,3.0,1,9,7,82,1,1,3,0,HOU
12,Allen Lazard,72,GB,2.0,1,4,4,63,1,1,19,0,MIN
13,Anthony Miller,73,CHI,2.0,1,6,4,76,1,0,0,0,DET
14,John Brown,79,BUF,2.0,1,10,6,70,1,0,0,0,NYJ
15,Willie Snead,81,BAL,3.0,1,4,4,64,1,0,0,0,CLE
16,Robert Woods,88,LAR,1.0,1,8,6,105,0,1,14,0,DAL
17,Russell Gage,67,ATL,3.0,1,12,9,114,0,0,0,0,SEA
18,Will Fuller,79,HOU,1.0,1,10,8,112,0,0,0,0,KC
19,Keelan Cole,73,JAX,5.0,1,5,5,47,1,0,0,0,IND
20,Laviska Shenault Jr,69,JAX,2.0,1,4,3,37,1,2,10,0,IND
21,Tyreek Hill,93,KC,1.0,1,6,5,46,1,0,0,0,HOU
22,Corey Davis,76,TEN,2.0,1,8,7,101,0,0,0,0,DEN
23,Marquise Brown,80,BAL,1.0,1,6,5,101,0,0,0,0,CLE
24,James Washington,76,PIT,3.0,1,3,2,34,1,0,0,0,NYG
25,Tyler Lockett,91,SEA,1.0,1,8,8,92,0,0,0,0,ATL
26,Stefon Diggs,91,BUF,1.0,1,9,8,86,0,0,0,0,NYJ
27,D.J. Chark,84,JAX,1.0,1,3,3,25,1,0,0,0,IND
28,Nelson Agholor,77,LV,4.0,1,1,1,23,1,0,0,0,CAR
29,Danny Amendola,82,DET,3.0,1,7,5,81,0,0,0,0,CHI
30,Amari Cooper,94,DAL,1.0,1,14,10,81,0,0,0,0,LAR
31,Parris Campbell,72,IND,2.0,1,9,6,71,0,1,9,0,JAX
32,Julian Edelman,84,NE,1.0,1,7,5,57,0,1,23,0,MIA
33,Scott Miller,72,TB,3.0,1,6,5,73,0,1,6,0,NO
34,Chris Godwin,89,TB,1.0,1,7,6,79,0,0,0,0,NO
35,Emmanuel Sanders,86,NO,2.0,1,5,3,15,1,0,0,0,TB
36,Allen Robinson,89,CHI,1.0,1,9,5,74,0,1,-1,0,DET
37,Mike Williams,78,LAC,2.0,1,9,4,69,0,0,0,0,CIN
38,Henry Ruggs III,75,LV,1.0,1,5,3,55,0,2,11,0,CAR
39,Mike Evans,90,TB,2.0,1,4,1,2,1,0,0,0,NO
40,Terry McLaurin,81,WAS,1.0,1,7,5,61,0,0,0,0,PHI
41,Javon Wims,70,CHI,5.0,1,2,1,1,1,0,0,0,DET
42,Jarvis Landry,87,CLE,2.0,1,6,5,61,0,0,0,0,BAL
43,CeeDee Lamb,76,DAL,3.0,1,6,5,59,0,0,0,0,LAR
44,Cole Beasley,83,BUF,3.0,1,7,4,58,0,0,0,0,NYJ
45,Olabisi Johnson,70,MIN,3.0,1,4,3,56,0,0,0,0,GB
46,Jerry Jeudy,77,DEN,2.0,1,8,4,56,0,0,0,0,TEN
47,Marvin Jones,86,DET,2.0,1,8,4,55,0,0,0,0,CHI
48,Jalen Reagor,70,PHI,2.0,1,4,1,55,0,0,0,0,WAS
49,D.J. Moore,81,CAR,1.0,1,9,4,54,0,0,0,0,LV
50,T.Y. Hilton,88,IND,1.0,1,9,4,53,0,0,0,0,JAX
51,AJ Green,91,CIN,1.0,1,9,5,51,0,0,0,0,LAC
52,Michael Gallup,83,DAL,2.0,1,5,3,50,0,0,0,0,LAR
53,Steven Sims Jr.,71,WAS,2.0,1,3,3,50,0,0,0,0,PHI
54,Chase Claypool,67,PIT,4.0,1,2,2,39,0,1,8,0,NYG
55,Sterling Shepard,84,NYG,2.0,1,6,6,47,0,0,0,0,PIT
56,Devante Parker,83,MIA,1.0,1,4,4,47,0,0,0,0,NE
57,Adam Humphries,80,TEN,3.0,1,7,6,47,0,0,0,0,DEN
58,DeSean Jackson,85,PHI,1.0,1,7,2,46,0,0,0,0,WAS
59,Curtis Samuel,79,CAR,3.0,1,8,5,38,0,1,5,0,LV
60,Quintez Cephus,67,DET,4.0,1,10,3,43,0,0,0,0,CHI
61,Preston Williams,68,MIA,2.0,1,7,2,41,0,0,0,0,NE
62,Cooper Kupp,92,LAR,2.0,1,5,4,40,0,0,0,0,DAL
63,David Moore,73,SEA,4.0,1,3,3,28,0,1,12,0,ATL
64,A.J. Brown,78,TEN,1.0,1,8,5,39,0,0,0,0,DEN
65,Darnell Mooney,67,CHI,7.0,1,3,3,38,0,0,0,0,DET
66,Keenan Allen,94,LAC,1.0,1,8,4,37,0,0,0,0,CIN
67,Diontae Johnson,77,PIT,2.0,1,10,6,57,0,0,0,0,NYG
68,Miles Boykin,69,BAL,2.0,1,4,3,37,0,0,0,0,CLE
69,Kendrick Bourne,78,SF,3.0,1,5,2,34,0,0,0,0,ARI
70,Larry Fitzgerald,85,ARI,3.0,1,5,4,34,0,0,0,0,SF
71,Tyler Boyd,82,CIN,2.0,1,5,4,33,0,0,0,0,LAC
72,Cordarrelle Patterson,79,CHI,4.0,1,1,1,12,0,4,19,0,DET
73,Greg Ward,72,PHI,2.0,1,7,5,31,0,0,0,0,WAS
74,Van Jefferson,68,LAR,4.0,1,3,1,31,0,0,0,0,DAL
75,Tim Patrick,68,DEN,5.0,1,5,4,29,0,0,0,0,TEN
76,Deonte Harris,67,NO,4.0,1,1,1,17,0,1,9,0,TB
77,Marvin Hall,68,DET,5.0,1,2,1,26,0,0,0,0,CHI
78,Justin Jefferson,75,MIN,2.0,1,3,2,26,0,0,0,0,GB
79,Jakeem Grant,73,MIA,3.0,1,3,3,25,0,0,0,0,NE
