NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
Josh Jacobs,88,LV,1,1,25,93,3,6,4,46,0
Christian McCaffrey,96,CAR,1,1,23,97,2,4,3,38,0
Ezekiel Elliott,90,DAL,1,1,22,96,1,4,3,31,1
Malcolm Brown,74,LAR,3,1,18,79,2,4,3,31,0
Raheem Mostert,83,SF,1,1,15,56,0,5,4,95,1
Clyde Edwards-Helaire,71,KC,1,1,25,138,1,2,0,0,0
Nyheim Hines,72,IND,3,1,7,28,1,8,8,45,1
Alvin Kamara,90,NO,1,1,12,16,1,8,5,51,1
Chris Carson,83,SEA,1,1,6,21,0,6,6,45,2
David Johnson,78,HOU,1,1,11,77,1,4,3,32,0
Dalvin Cook,90,MIN,1,1,12,50,2,2,1,-2,0
Peyton Barber,74,WAS,3,1,17,29,2,0,0,0,0
J.K. Dobbins,72,BAL,2,1,7,22,2,0,0,0,0
Aaron Jones,88,GB,1,1,16,66,1,6,4,10,0
Derrick Henry,95,TEN,1,1,31,116,0,3,3,15,0
Melvin Gordon,84,DEN,1,1,15,78,1,3,3,8,0
Kenyan Drake,83,ARI,1,1,16,60,1,2,2,5,0
Joshua Kelley,67,LAC,3,1,12,60,1,0,0,0,0
Todd Gurley,84,ATL,1,1,14,56,1,5,2,1,0
Adrian Peterson,79,DET,3,1,14,93,0,3,3,21,0
Benny Snell Jr.,70,PIT,2,1,19,113,0,1,0,0,0
Chase Edmonds,71,ARI,2,1,6,26,0,5,3,19,1
Jerick McKinnon,77,SF,3,1,3,24,0,5,3,20,1
Sony Michel,84,NE,2,1,10,37,1,0,0,0,0
James Robinson,67,JAX,4,1,16,62,0,1,1,28,0
Jonathan Taylor,71,IND,1,1,9,22,0,6,6,67,0
Zack Moss,68,BUF,2,1,9,11,0,4,3,16,1
Austin Ekeler,85,LAC,1,1,19,84,0,1,1,3,0
D'Andre Swift,73,DET,1,1,3,8,1,5,3,15,0
Carlos Hyde,83,SEA,2,1,7,23,1,0,0,0,0
Josh Adams,72,NYJ,4,1,2,8,1,2,2,14,0
Ronald Jones II,81,TB,2,1,17,66,0,3,2,16,0
Kareem Hunt,87,CLE,2,1,13,72,0,6,4,9,0
Alexander Mattison,70,MIN,2,1,6,50,0,4,4,30,0
David Montgomery,80,CHI,1,1,13,64,0,3,1,10,0
Jordan Howard,78,MIA,1,1,8,7,1,0,0,0,0
