,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
0,Josh Jacobs,88,LV,1.0,1,25.0,93.0,3,6.0,4.0,46.0,0,CAR
1,Christian McCaffrey,96,CAR,1.0,1,23.0,97.0,2,4.0,3.0,38.0,0,LV
2,Ezekiel Elliott,90,DAL,1.0,1,22.0,96.0,1,4.0,3.0,31.0,1,LAR
3,Malcolm Brown,74,LAR,3.0,1,18.0,79.0,2,4.0,3.0,31.0,0,DAL
4,Raheem Mostert,83,SF,1.0,1,15.0,56.0,0,5.0,4.0,95.0,1,ARI
5,Clyde Edwards-Helaire,71,KC,1.0,1,25.0,138.0,1,2.0,0.0,0.0,0,HOU
6,Nyheim Hines,72,IND,3.0,1,7.0,28.0,1,8.0,8.0,45.0,1,JAX
7,Alvin Kamara,90,NO,1.0,1,12.0,16.0,1,8.0,5.0,51.0,1,TB
8,Chris Carson,83,SEA,1.0,1,6.0,21.0,0,6.0,6.0,45.0,2,ATL
9,David Johnson,78,HOU,1.0,1,11.0,77.0,1,4.0,3.0,32.0,0,KC
10,Dalvin Cook,90,MIN,1.0,1,12.0,50.0,2,2.0,1.0,-2.0,0,GB
11,Peyton Barber,74,WAS,3.0,1,17.0,29.0,2,0.0,0.0,0.0,0,PHI
12,J.K. Dobbins,72,BAL,2.0,1,7.0,22.0,2,0.0,0.0,0.0,0,CLE
13,Aaron Jones,88,GB,1.0,1,16.0,66.0,1,6.0,4.0,10.0,0,MIN
14,Derrick Henry,95,TEN,1.0,1,31.0,116.0,0,3.0,3.0,15.0,0,DEN
15,Melvin Gordon,84,DEN,1.0,1,15.0,78.0,1,3.0,3.0,8.0,0,TEN
16,Kenyan Drake,83,ARI,1.0,1,16.0,60.0,1,2.0,2.0,5.0,0,SF
17,Joshua Kelley,67,LAC,3.0,1,12.0,60.0,1,0.0,0.0,0.0,0,CIN
18,Todd Gurley,84,ATL,1.0,1,14.0,56.0,1,5.0,2.0,1.0,0,SEA
19,Adrian Peterson,79,DET,3.0,1,14.0,93.0,0,3.0,3.0,21.0,0,CHI
20,Benny Snell Jr.,70,PIT,2.0,1,19.0,113.0,0,1.0,0.0,0.0,0,NYG
21,Chase Edmonds,71,ARI,2.0,1,6.0,26.0,0,5.0,3.0,19.0,1,SF
22,Jerick McKinnon,77,SF,3.0,1,3.0,24.0,0,5.0,3.0,20.0,1,ARI
23,Sony Michel,84,NE,2.0,1,10.0,37.0,1,0.0,0.0,0.0,0,MIA
24,James Robinson,67,JAX,4.0,1,16.0,62.0,0,1.0,1.0,28.0,0,IND
25,Jonathan Taylor,71,IND,1.0,1,9.0,22.0,0,6.0,6.0,67.0,0,JAX
26,Zack Moss,68,BUF,2.0,1,9.0,11.0,0,4.0,3.0,16.0,1,NYJ
27,Austin Ekeler,85,LAC,1.0,1,19.0,84.0,0,1.0,1.0,3.0,0,CIN
28,D'Andre Swift,73,DET,1.0,1,3.0,8.0,1,5.0,3.0,15.0,0,CHI
29,Carlos Hyde,83,SEA,2.0,1,7.0,23.0,1,0.0,0.0,0.0,0,ATL
30,Josh Adams,72,NYJ,4.0,1,2.0,8.0,1,2.0,2.0,14.0,0,BUF
31,Ronald Jones II,81,TB,2.0,1,17.0,66.0,0,3.0,2.0,16.0,0,NO
32,Kareem Hunt,87,CLE,2.0,1,13.0,72.0,0,6.0,4.0,9.0,0,BAL
33,Alexander Mattison,70,MIN,2.0,1,6.0,50.0,0,4.0,4.0,30.0,0,GB
34,David Montgomery,80,CHI,1.0,1,13.0,64.0,0,3.0,1.0,10.0,0,DET
35,Jordan Howard,78,MIA,1.0,1,8.0,7.0,1,0.0,0.0,0.0,0,NE
36,Saquon Barkley,93,NYG,1.0,1,15.0,6.0,0,9.0,6.0,60.0,0,PIT
37,Myles Gaskin,67,MIA,5.0,1,9.0,40.0,0,4.0,4.0,26.0,0,NE
38,Marlon Mack,82,IND,2.0,1,4.0,26.0,0,3.0,3.0,30.0,0,JAX
39,Boston Scott,70,PHI,2.0,1,9.0,35.0,0,2.0,2.0,19.0,0,WAS
40,Devin Singletary,81,BUF,1.0,1,9.0,30.0,0,7.0,5.0,23.0,0,NYJ
41,Devontae Booker,70,LV,3.0,1,4.0,29.0,0,3.0,3.0,23.0,0,CAR
42,James White,84,NE,1.0,1,5.0,22.0,0,3.0,3.0,30.0,0,MIA
43,Joe Mixon,88,CIN,1.0,1,19.0,69.0,0,2.0,1.0,2.0,0,LAC
44,Latavius Murray,77,NO,2.0,1,15.0,48.0,0,1.0,0.0,0.0,0,TB
45,Tarik Cohen,79,CHI,2.0,1,7.0,41.0,0,2.0,2.0,6.0,0,DET
46,Nick Chubb,90,CLE,1.0,1,10.0,60.0,0,1.0,1.0,6.0,0,BAL
47,Le'Veon Bell,87,KC,1.0,1,6.0,14.0,0,2.0,2.0,32.0,0,HOU
