,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
0,Dallas Goedert,85,PHI,1.0,1,9,8,101,1,0,0,0,WAS
1,Mark Andrews,86,BAL,1.0,1,6,5,58,2,0,0,0,CLE
2,Noah Fant,85,DEN,1.0,1,6,5,81,1,0,0,0,TEN
3,Travis Kelce,96,KC,1.0,1,6,6,50,1,0,0,0,HOU
4,T.J. Hockenson,81,DET,1.0,1,5,5,56,1,0,0,0,CHI
5,David Njoku,81,CLE,1.0,1,3,3,50,1,0,0,0,BAL
6,Logan Thomas,80,WAS,1.0,1,8,4,37,1,0,0,0,PHI
7,OJ Howard,84,TB,2.0,1,6,4,36,1,0,0,0,NO
8,Jonnu Smith,82,TEN,1.0,1,7,4,36,1,0,0,0,DEN
9,Jared Cook,89,NO,1.0,1,7,5,80,0,0,0,0,TB
10,Greg Olsen,77,SEA,1.0,1,4,4,24,1,0,0,0,ATL
11,Hunter Henry,85,LAC,1.0,1,8,5,73,0,0,0,0,CIN
12,Jordan Akins,77,HOU,3.0,1,2,2,39,1,0,0,0,KC
13,Jimmy Graham,78,CHI,2.0,1,7,3,25,1,0,0,0,DET
14,Zach Ertz,81,PHI,1.0,1,7,3,18,1,0,0,0,WAS
15,Darren Waller,93,LV,1.0,1,8,6,45,0,0,0,0,CAR
16,George Kittle,99,SF,1.0,1,5,4,44,0,1,9,0,ARI
17,CJ Uzomah,78,CIN,1.0,1,5,4,45,0,0,0,0,LAC
18,Jack Doyle,79,IND,1.0,1,4,3,49,0,0,0,0,JAX
19,Chris Herndon IV,77,NYJ,1.0,1,7,6,37,0,0,0,0,BUF
20,MyCole Pruitt,71,TEN,2.0,1,1,1,1,1,0,0,0,DEN
21,Tyler Higbee,82,LAR,1.0,1,4,3,40,0,0,0,0,DAL
22,Hayden Hurst,77,ATL,1.0,1,5,3,38,0,0,0,0,SEA
23,Mike Gesicki,84,MIA,2.0,1,5,3,30,0,0,0,0,NE
24,Kyle Rudolph,80,MIN,1.0,1,2,2,28,0,0,0,0,GB
25,Dawson Knox,75,BUF,1.0,1,3,2,26,0,0,0,0,NYJ
26,Dan Arnold,67,ARI,1.0,1,2,2,21,0,0,0,0,SF
27,Mo Alie-Cox,67,IND,1.0,1,2,2,20,0,0,0,0,JAX
28,Darren Fells,73,HOU,1.0,1,2,2,19,0,0,0,0,KC
29,Kaden Smith,67,NYG,3.0,1,2,2,17,0,0,0,0,PIT
30,Ian Thomas,75,CAR,1.0,1,2,2,16,0,0,0,0,LV
31,Ryan Izzo,67,NE,1.0,1,2,1,25,0,0,0,0,MIA
32,Austin Hooper,87,CLE,1.0,1,2,2,15,0,0,0,0,BAL
33,Jordan Reed,81,SF,1.0,1,2,2,12,0,0,0,0,ARI
34,Rob Gronkowski,87,TB,1.0,1,3,2,11,0,0,0,0,NO
35,Evan Engram,83,NYG,1.0,1,7,2,9,0,0,0,0,PIT
36,Will Dissly,77,SEA,1.0,1,2,2,8,0,0,0,0,ATL
37,Eric Ebron,85,PIT,1.0,1,2,1,18,0,0,0,0,NYG
38,Anthony Firkser,70,TEN,3.0,1,2,2,5,0,0,0,0,DEN
39,Nick Boyle,83,BAL,2.0,1,3,2,3,0,0,0,0,CLE
40,Levine Toilolo,71,NYG,2.0,1,1,1,13,0,0,0,0,PIT
41,Blake Jarwin,78,DAL,1.0,1,1,1,12,0,0,0,0,LAR
42,Josiah Deguara,70,GB,3.0,1,2,1,12,0,0,0,0,MIN
43,Irv Smith Jr.,77,MIN,1.0,1,1,1,11,0,0,0,0,GB
