NAME,RTG,TEAM,DEP,WEEK,TGTS,REC,REC YDS,REC TD,ATT,YDS,TD
Davante Adams,91,GB,1,1,17,14,156,2,0,0,0
Calvin Ridley,85,ATL,2,1,12,9,130,2,1,-1,0
Adam Thielen,89,MIN,1,1,8,6,110,2,0,0,0
Darius Slayton,77,NYG,1,1,9,6,102,2,0,0,0
JuJu Smith-Schuster,89,PIT,1,1,6,6,69,2,0,0,0
Jamison Crowder,83,NYJ,1,1,13,7,115,1,0,0,0
Robby Anderson,81,CAR,2,1,8,6,114,1,0,0,0
Julio Jones,99,ATL,1,1,12,9,157,0,0,0,0
Marquez Valdes-Scantling,74,GB,3,1,6,4,96,1,0,0,0
D.K. Metcalf,80,SEA,2,1,8,4,95,1,0,0,0
DeAndre Hopkins,99,ARI,1,1,16,14,151,0,0,0,0
Sammy Watkins,80,KC,3,1,9,7,82,1,1,3,0
Allen Lazard,72,GB,2,1,4,4,63,1,1,19,0
Anthony Miller,73,CHI,2,1,6,4,76,1,0,0,0
John Brown,79,BUF,2,1,10,6,70,1,0,0,0
Willie Snead,81,BAL,3,1,4,4,64,1,0,0,0
Robert Woods,88,LAR,1,1,8,6,105,0,1,14,0
Russell Gage,67,ATL,3,1,12,9,114,0,0,0,0
Will Fuller,79,HOU,1,1,10,8,112,0,0,0,0
Keelan Cole,73,JAX,5,1,5,5,47,1,0,0,0
Laviska Shenault Jr,69,JAX,2,1,4,3,37,1,2,10,0
Tyreek Hill,93,KC,1,1,6,5,46,1,0,0,0
Corey Davis,76,TEN,2,1,8,7,101,0,0,0,0
Marquise Brown,80,BAL,1,1,6,5,101,0,0,0,0
James Washington,76,PIT,3,1,3,2,34,1,0,0,0
Tyler Lockett,91,SEA,1,1,8,8,92,0,0,0,0
Stefon Diggs,91,BUF,1,1,9,8,86,0,0,0,0
D.J. Chark,84,JAX,1,1,3,3,25,1,0,0,0
Nelson Agholor,77,LV,4,1,1,1,23,1,0,0,0
Danny Amendola,82,DET,3,1,7,5,81,0,0,0,0
Amari Cooper,94,DAL,1,1,14,10,81,0,0,0,0
Parris Campbell,72,IND,2,1,9,6,71,0,1,9,0
Julian Edelman,84,NE,1,1,7,5,57,0,1,23,0
